category,name,email,phone,facebook,instagram,logo,new_logo
artisans pavilion,E-Memoir,ememoir18@gmail.com,0995 788 8338,https://www.facebook.com/ememoir18,,"https://static.wixstatic.com/media/f488d8_3f4cd59cdb06408aa72713aaafce2a87~mv2.jpg/v1/fill/w_157,h_151,al_c,q_80,usm_0.66_1.00_0.01,enc_avif,quality_auto/76613093_10157457833386061_4880067254760243200_n.jpg",/vendor-logos/e-memoir.jpg
artisans pavilion,Host - Steffi Lucero,steffiael@gmail.com,0939 922 1233,https://www.facebook.com/steffihosts,,"https://static.wixstatic.com/media/f488d8_cac8b19b776147a79ff2b49a86fbb8c3~mv2.jpg/v1/fill/w_157,h_151,al_c,q_80,usm_0.66_1.00_0.01,enc_avif,quality_auto/76613093_10157457833386061_4880067254760243200_n.jpg","https://static.wixstatic.com/media/f488d8_cac8b19b776147a79ff2b49a86fbb8c3~mv2.jpg/v1/fill/w_157,h_151,al_c,q_80,usm_0.66_1.00_0.01,enc_avif,quality_auto/76613093_10157457833386061_4880067254760243200_n.jpg"
artisans pavilion,Jai Alano,amdalano@gmail.com,0916 294 7271,,https://www.instagram.com/jaialano?igsh=MWNxMzNoa2ZkcWt6MQ%3D%3D,"https://static.wixstatic.com/media/f488d8_a4955c06ca304f088d1fa827b73c22e9~mv2.jpg/v1/fill/w_157,h_151,al_c,q_80,usm_0.66_1.00_0.01,enc_avif,quality_auto/76613093_10157457833386061_4880067254760243200_n.jpg","https://static.wixstatic.com/media/f488d8_a4955c06ca304f088d1fa827b73c22e9~mv2.jpg/v1/fill/w_157,h_151,al_c,q_80,usm_0.66_1.00_0.01,enc_avif,quality_auto/76613093_10157457833386061_4880067254760243200_n.jpg"
artisans pavilion,Limeworks Life-Size Letters,limeworksts@gmail.com,0917 701 4980,https://www.facebook.com/limeworkslifesizeletters,,"https://static.wixstatic.com/media/f488d8_7340f284a3094f3d8f5fefc515dc7477~mv2.jpeg/v1/fill/w_157,h_151,al_c,q_80,usm_0.66_1.00_0.01,enc_avif,quality_auto/76613093_10157457833386061_4880067254760243200_n.jpeg",/vendor-logos/limeworks-life-size-letters.webp
artisans pavilion,MI ART | Aesthetic Concept,marquezvenice@gmail.com,0945 265 0339,https://web.facebook.com/miart.ph,,"https://static.wixstatic.com/media/f488d8_c01106dc0d174e17a302527456f82b40~mv2.jpeg/v1/fill/w_157,h_151,al_c,q_80,usm_0.66_1.00_0.01,enc_avif,quality_auto/76613093_10157457833386061_4880067254760243200_n.jpeg",/vendor-logos/mi-art-aesthetic-concept.jpg
artisans pavilion,Mariya Studio,by.mariyastudio@gmail.com,0916 876 1047,https://www.facebook.com/bymariya.studio,,"https://static.wixstatic.com/media/f488d8_dbd73fb9c28041f78a5fce7858859918~mv2.png/v1/fill/w_157,h_151,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/76613093_10157457833386061_4880067254760243200_n.png","https://static.wixstatic.com/media/f488d8_dbd73fb9c28041f78a5fce7858859918~mv2.png/v1/fill/w_157,h_151,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/76613093_10157457833386061_4880067254760243200_n.png"
artisans pavilion,Mentalist Ph,Contact@mentalist.ph,0977 236 0457,,https://www.instagram.com/magick_matt/,"https://static.wixstatic.com/media/f488d8_f318452825564c3eb99be8f347461d6f~mv2.png/v1/fill/w_157,h_151,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/76613093_10157457833386061_4880067254760243200_n.png",/vendor-logos/mentalist-ph.png
bridal beauty,Luxe Lounge by MDPH,info@luxeloungebymdph.com,0975 289 3851,https://www.facebook.com/luxeloungebyMDPH,,"https://static.wixstatic.com/media/f488d8_419fc377301c4538b4c46d50ca52b3f7~mv2.jpg/v1/fill/w_151,h_150,al_c,q_80,usm_0.66_1.00_0.01,enc_avif,quality_auto/Your%2BLogo%2BHere.jpg",/vendor-logos/luxe-lounge-by-mdph.webp
mobile bars,Art-Lou Food and Beverage Trading,sales@art-lou.com,0968 871 0251,https://www.facebook.com/ArtLouBars,,"https://static.wixstatic.com/media/f488d8_1b999cd1ca0f435dbc349aba5f384795~mv2.jpg/v1/fill/w_157,h_151,al_c,q_80,usm_0.66_1.00_0.01,enc_avif,quality_auto/76613093_10157457833386061_4880067254760243200_n.jpg",/vendor-logos/art-lou-food-and-beverage-trading.png
mobile bars,Bar on the Run,barontherunph@gmail.com,0917 870 2413,https://www.facebook.com/mobilebarontherun,,"https://static.wixstatic.com/media/f488d8_df4008f76140447f98190c596cd9a30d~mv2.jpeg/v1/fill/w_157,h_151,al_c,q_80,usm_0.66_1.00_0.01,enc_avif,quality_auto/76613093_10157457833386061_4880067254760243200_n.jpeg",/vendor-logos/bar-on-the-run.jpg
mobile bars,Bloomingdales Coffee Co.,bcco.ph@gmail.com,0917 870 2413,,https://www.instagram.com/bcco.ph,"https://static.wixstatic.com/media/f488d8_43d99644b0b04005ab51eea653ff7ab0~mv2.jpg/v1/fill/w_157,h_151,al_c,q_80,usm_0.66_1.00_0.01,enc_avif,quality_auto/76613093_10157457833386061_4880067254760243200_n.jpg",/vendor-logos/bloomingdales-coffee-co.png
mobile bars,Boka Coffee,kaori.boka.events@gmail.com,0915 980 3929,https://www.facebook.com/mynanaysbest,,"https://static.wixstatic.com/media/f488d8_6f0f06426fcc4299b4886af8ed27021c~mv2.jpg/v1/fill/w_157,h_151,al_c,q_80,usm_0.66_1.00_0.01,enc_avif,quality_auto/76613093_10157457833386061_4880067254760243200_n.jpg",/vendor-logos/boka-coffee.jpg
mobile bars,Boujee Mobile Bar,joshuamarkmartinn@yahoo.com,0915 370 1948,https://www.facebook.com/BoujeeMobileBar,,"https://static.wixstatic.com/media/f488d8_37ec824990564d77a522a42a8487955a~mv2.jpg/v1/fill/w_157,h_151,al_c,q_80,usm_0.66_1.00_0.01,enc_avif,quality_auto/76613093_10157457833386061_4880067254760243200_n.jpg","https://static.wixstatic.com/media/f488d8_37ec824990564d77a522a42a8487955a~mv2.jpg/v1/fill/w_157,h_151,al_c,q_80,usm_0.66_1.00_0.01,enc_avif,quality_auto/76613093_10157457833386061_4880067254760243200_n.jpg"
mobile bars,Bulul Brewery,bululbrewery@yahoo.com,0917 528 6668,https://www.facebook.com/bululbrewery,,"https://static.wixstatic.com/media/f488d8_5a02716e5360443884d8fc8125d498ca~mv2.jpg/v1/fill/w_157,h_151,al_c,q_80,usm_0.66_1.00_0.01,enc_avif,quality_auto/76613093_10157457833386061_4880067254760243200_n.jpg","https://static.wixstatic.com/media/f488d8_5a02716e5360443884d8fc8125d498ca~mv2.jpg/v1/fill/w_157,h_151,al_c,q_80,usm_0.66_1.00_0.01,enc_avif,quality_auto/76613093_10157457833386061_4880067254760243200_n.jpg"
mobile bars,C & W Manila,candwmanila@gmail.com,0917 794 9996,,https://www.instagram.com/candwmanila,"https://static.wixstatic.com/media/f488d8_1d5fc2aa1a8749baad56c19467443e5f~mv2.jpg/v1/fill/w_157,h_151,al_c,q_80,usm_0.66_1.00_0.01,enc_avif,quality_auto/76613093_10157457833386061_4880067254760243200_n.jpg",/vendor-logos/c-w-manila.jpg
mobile bars,Cafe Louclair,partybitesanddelights@gmail.com,0999 967 3648,https://www.facebook.com/profile.php?id=61574924551748,,"https://static.wixstatic.com/media/f488d8_ceea565b93ec4c3fb62cf2793624d31d~mv2.jpg/v1/fill/w_157,h_151,al_c,q_80,usm_0.66_1.00_0.01,enc_avif,quality_auto/76613093_10157457833386061_4880067254760243200_n.jpg","https://static.wixstatic.com/media/f488d8_ceea565b93ec4c3fb62cf2793624d31d~mv2.jpg/v1/fill/w_157,h_151,al_c,q_80,usm_0.66_1.00_0.01,enc_avif,quality_auto/76613093_10157457833386061_4880067254760243200_n.jpg"
mobile bars,Cafe bar by Sagada,franciscocherrilyne@gmail.com,0967 698 6945,https://www.facebook.com/cafebarbysagada,,"https://static.wixstatic.com/media/f488d8_0c273c500b6c4b9ab07be58c84c50414~mv2.jpg/v1/fill/w_157,h_151,al_c,q_80,usm_0.66_1.00_0.01,enc_avif,quality_auto/76613093_10157457833386061_4880067254760243200_n.jpg","https://static.wixstatic.com/media/f488d8_0c273c500b6c4b9ab07be58c84c50414~mv2.jpg/v1/fill/w_157,h_151,al_c,q_80,usm_0.66_1.00_0.01,enc_avif,quality_auto/76613093_10157457833386061_4880067254760243200_n.jpg"
mobile bars,Caffeined Coffee,caffeinedcoffee@gmail.com,0999 990 8186,https://www.facebook.com/caffeinedcoffee,,"https://static.wixstatic.com/media/f488d8_66bb11ebcaba45818e81dc4379c2e147~mv2.png/v1/fill/w_157,h_151,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/76613093_10157457833386061_4880067254760243200_n.png",/vendor-logos/caffeined-coffee.png
mobile bars,Crafted Cravings by Solange,craftedcravingsbysolange@gmail.com,0976 037 0497,https://www.facebook.com/craftedcravingsbysolange,,"https://static.wixstatic.com/media/f488d8_27e592affa804f71b00511d9487119e5~mv2.jpg/v1/fill/w_157,h_151,al_c,q_80,usm_0.66_1.00_0.01,enc_avif,quality_auto/76613093_10157457833386061_4880067254760243200_n.jpg",/vendor-logos/crafted-cravings-by-solange.png
mobile bars,"Destileria Limtuaco & Co., Inc.",marketing@limtuaco.com,0917 652 8935,,,"https://static.wixstatic.com/media/f488d8_d74ae7aebfae408cb38e8bd75f37cb7b~mv2.png/v1/fill/w_157,h_151,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/76613093_10157457833386061_4880067254760243200_n.png",/vendor-logos/destileria-limtuaco-co-inc.png
mobile bars,Frose,xyxylen@gmail.com,0967 372 9077,https://www.facebook.com/brewblendsmnl,,"https://static.wixstatic.com/media/f488d8_cdd88fbd0d8448baac8231c6c243a5ac~mv2.jpg/v1/fill/w_157,h_151,al_c,q_80,usm_0.66_1.00_0.01,enc_avif,quality_auto/76613093_10157457833386061_4880067254760243200_n.jpg",/vendor-logos/frose.png
mobile bars,Hangover Mobile Bar,hangovermbar@gmail.com,0928 518 0423,https://www.facebook.com/profile.php?id=61557743550049&mibextid=LQQJ4d&rdid=a4Xmnb1acyi6M1y8&share_url=https%3A%2F%2Fwww.facebook.com%2Fshare%2F1B4hGsLfDn%2F%3Fmibextid%3DLQQJ4d#,,"https://static.wixstatic.com/media/f488d8_2838ade0ecc74828ba1fb11392322e7c~mv2.jpg/v1/fill/w_157,h_151,al_c,q_80,usm_0.66_1.00_0.01,enc_avif,quality_auto/76613093_10157457833386061_4880067254760243200_n.jpg","https://static.wixstatic.com/media/f488d8_2838ade0ecc74828ba1fb11392322e7c~mv2.jpg/v1/fill/w_157,h_151,al_c,q_80,usm_0.66_1.00_0.01,enc_avif,quality_auto/76613093_10157457833386061_4880067254760243200_n.jpg"
mobile bars,Happy Cup,marketing.happycup@gmail.com,0912 831 2776,https://www.facebook.com/happycupph,,"https://static.wixstatic.com/media/f488d8_ea8e6fd035e149f49502893c0b89bd99~mv2.png/v1/fill/w_157,h_151,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/76613093_10157457833386061_4880067254760243200_n.png",/vendor-logos/happy-cup.jpg
mobile bars,KKB Cafe,kkbcoffee@gmail.com,,https://www.facebook.com/KKBCoffee,,"https://static.wixstatic.com/media/f488d8_f9e5d9ca510f455fb41853650fd573a6~mv2.jpg/v1/fill/w_157,h_151,al_c,q_80,usm_0.66_1.00_0.01,enc_avif,quality_auto/76613093_10157457833386061_4880067254760243200_n.jpg",/vendor-logos/kkb-cafe.jpg
mobile bars,Mornings in Banaue,morningsinbanaue2023@gmail.com,0917 560 1284,https://www.facebook.com/profile.php?id=61553885581750,,"https://static.wixstatic.com/media/f488d8_f1fe9f4a8ac34a6b865e1c7132a3bc73~mv2.jpg/v1/fill/w_157,h_151,al_c,q_80,usm_0.66_1.00_0.01,enc_avif,quality_auto/76613093_10157457833386061_4880067254760243200_n.jpg",/vendor-logos/mornings-in-banaue.jpg
mobile bars,Pilgrim's Coffee,pilgrimscoffee.ph@gmail.com,0915 653 9381,https://www.facebook.com/pilgrimscoffee.ph,,"https://static.wixstatic.com/media/f488d8_34e06887d2ed47fc952fff8c75b4e86a~mv2.jpeg/v1/fill/w_157,h_151,al_c,q_80,usm_0.66_1.00_0.01,enc_avif,quality_auto/76613093_10157457833386061_4880067254760243200_n.jpeg",/vendor-logos/pilgrims-coffee.webp
mobile bars,Pour Decisions PH,pourdecisionsph.adm@gmail.com,,https://www.facebook.com/pourdecisionsphl,,"https://static.wixstatic.com/media/f488d8_3df86fa1587841d3ab4d7ada52e5df45~mv2.jpg/v1/fill/w_157,h_151,al_c,q_80,usm_0.66_1.00_0.01,enc_avif,quality_auto/76613093_10157457833386061_4880067254760243200_n.jpg",/vendor-logos/pour-decisions-ph.jpg
mobile bars,Sebastiao Cocktails,hello@sebastiaoph.com,0905 282 2342,https://www.facebook.com/sebastiaococktails,,"https://static.wixstatic.com/media/f488d8_2d36c42f74fb4d03a1856d07e85a7f6b~mv2.jpg/v1/fill/w_157,h_151,al_c,q_80,usm_0.66_1.00_0.01,enc_avif,quality_auto/76613093_10157457833386061_4880067254760243200_n.jpg",/vendor-logos/sebastiao-cocktails.webp
mobile bars,Slurplab,slurplab.ph@gmail.com,0976 035 0454,https://www.facebook.com/profile.php?id=61582357153561,,"https://static.wixstatic.com/media/f488d8_c2beed10872b4da3ab43853964a5849a~mv2.jpg/v1/fill/w_157,h_151,al_c,q_80,usm_0.66_1.00_0.01,enc_avif,quality_auto/76613093_10157457833386061_4880067254760243200_n.jpg",/vendor-logos/slurplab.png
mobile bars,Spin Coffee,events@spincoffee.ph,0966 594 2276,,,"https://static.wixstatic.com/media/f488d8_165111a9df6b40dbba93a2763dd76537~mv2.jpg/v1/fill/w_157,h_151,al_c,q_80,usm_0.66_1.00_0.01,enc_avif,quality_auto/76613093_10157457833386061_4880067254760243200_n.jpg",/vendor-logos/spin-coffee.jpg
mobile bars,The Bistro Booze,carts@bistrobyleblanc.com,0917 502 3622,https://web.facebook.com/profile.php?id=61568804903771,,"https://static.wixstatic.com/media/f488d8_850eda3268354d3695f40a5f06dd82b5~mv2.jpg/v1/fill/w_157,h_151,al_c,q_80,usm_0.66_1.00_0.01,enc_avif,quality_auto/76613093_10157457833386061_4880067254760243200_n.jpg",/vendor-logos/the-bistro-booze.jpg
mobile bars,The Bistro Pop-Up Cafe,bistro@leblanc.com.ph,0917 156 4975,https://www.facebook.com/thebistropopupcafe,,"https://static.wixstatic.com/media/f488d8_0f334f25b5a744d4a1618a86c3d8f58a~mv2.png/v1/fill/w_157,h_151,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/76613093_10157457833386061_4880067254760243200_n.png",/vendor-logos/the-bistro-pop-up-cafe.jpg
mobile bars,Witlover Cafe,event.carts@wiltlover.com,0976 136 3540,https://www.facebook.com/wiltlovercafe.eventscart,,"https://static.wixstatic.com/media/f488d8_7237514925414180b2fa56be1fec1b7d~mv2.jpg/v1/fill/w_157,h_151,al_c,q_80,usm_0.66_1.00_0.01,enc_avif,quality_auto/76613093_10157457833386061_4880067254760243200_n.jpg",/vendor-logos/witlover-cafe.jpg
gift registry,Canon,customer_care@canon.com.ph,,https://www.facebook.com/canonphils,,"https://static.wixstatic.com/media/f488d8_5f2d2ce6d6294f71be61cb6e45b3ab98~mv2.jpg/v1/fill/w_151,h_150,al_c,q_80,usm_0.66_1.00_0.01,enc_avif,quality_auto/Your%2BLogo%2BHere.jpg","https://static.wixstatic.com/media/f488d8_5f2d2ce6d6294f71be61cb6e45b3ab98~mv2.jpg/v1/fill/w_151,h_150,al_c,q_80,usm_0.66_1.00_0.01,enc_avif,quality_auto/Your%2BLogo%2BHere.jpg"
gift registry,Hiessence,hello@hiessence.co,0977 095 3537,https://www.facebook.com/hiessence.co,,"https://static.wixstatic.com/media/f488d8_f3e1300113df4a0da645913c13da5cb8~mv2.jpg/v1/fill/w_151,h_150,al_c,q_80,usm_0.66_1.00_0.01,enc_avif,quality_auto/Your%2BLogo%2BHere.jpg",/vendor-logos/hiessence.png
cakes,Sugar Crest,cams.gabriel@gmail.com,0915 821 4292,https://www.facebook.com/profile.php?id=100064169043613,,"https://static.wixstatic.com/media/f488d8_90c11f572b8944b6b0df15fe3a910595~mv2.jpg/v1/fill/w_157,h_151,al_c,q_80,usm_0.66_1.00_0.01,enc_avif,quality_auto/76613093_10157457833386061_4880067254760243200_n.jpg",/vendor-logos/sugar-crest.jpg
cakes,Ysabel's Confectionery,ysabels.confectionery@yahoo.com,0917 552 8249,https://www.facebook.com/ysabelsconfectionerybyCHEFRJCelestial,,"https://static.wixstatic.com/media/f488d8_792b8c6121a74ac5902a0faf338efb3d~mv2.jpeg/v1/fill/w_157,h_151,al_c,q_80,usm_0.66_1.00_0.01,enc_avif,quality_auto/76613093_10157457833386061_4880067254760243200_n.jpeg",/vendor-logos/ysabels-confectionery.png
car rentals,APerfectDayWedCar Luxury Bridal Cars,aperfectdaywedcar@gmail.com,,https://www.facebook.com/APerfectDayWedCar/,,"https://static.wixstatic.com/media/f488d8_b6ea9c9f13734657bb4ef9295cf53368~mv2.jpg/v1/fill/w_167,h_67,al_c,q_80,usm_0.66_1.00_0.01,enc_avif,quality_auto/Kopya%20ng%20Don%20Robert.jpg",/vendor-logos/aperfectdaywedcar-luxury-bridal-cars.jpg
caterers,Abram’s Event Catering Services,abrams.eventscatering@gmail.com,,https://www.facebook.com/abramseventscatering,,"https://static.wixstatic.com/media/f488d8_ac3c8dacc9c947e7b2cbe8f18c32ec83~mv2.jpg/v1/fill/w_157,h_151,al_c,q_80,usm_0.66_1.00_0.01,enc_avif,quality_auto/76613093_10157457833386061_4880067254760243200_n.jpg",/vendor-logos/abrams-event-catering-services.png
caterers,Alba Catering and Food Services,info@albacatering.ph,0917 560 9757,,,"https://static.wixstatic.com/media/f488d8_e2a66b52daa946f3a8ed645985977040~mv2.png/v1/fill/w_157,h_151,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/76613093_10157457833386061_4880067254760243200_n.png","https://static.wixstatic.com/media/f488d8_e2a66b52daa946f3a8ed645985977040~mv2.png/v1/fill/w_157,h_151,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/76613093_10157457833386061_4880067254760243200_n.png"
caterers,Antonio's,reservations@antoniosrestaurant.ph,0917 899 2866,https://www.facebook.com/antoniostagaytay,,"https://static.wixstatic.com/media/f488d8_d20b2d7107844b21a66c2e18bce34aad~mv2.jpg/v1/fill/w_157,h_151,al_c,q_80,usm_0.66_1.00_0.01,enc_avif,quality_auto/76613093_10157457833386061_4880067254760243200_n.jpg",/vendor-logos/antonios.png
caterers,Bron Michael Catering Service,bronmichaelmalabon@gmail.com,0916 320 8637,https://www.facebook.com/bronmichaelmalabon,,"https://static.wixstatic.com/media/f488d8_3e8e7e8eff8c47c1b3a158644daebb03~mv2.jpg/v1/fill/w_157,h_151,al_c,q_80,usm_0.66_1.00_0.01,enc_avif,quality_auto/76613093_10157457833386061_4880067254760243200_n.jpg",/vendor-logos/bron-michael-catering-service.webp
caterers,Catering by Ibarra's,catering@ibarraspartyvenues.com.ph,0917 322 5282,,,"https://static.wixstatic.com/media/f488d8_a23dd2481d6043ffa1b007bcf8c1e5bb~mv2.png/v1/fill/w_157,h_151,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/76613093_10157457833386061_4880067254760243200_n.png",/vendor-logos/catering-by-ibarras.png
caterers,Chef Patrick's Kitchen,chef_pat_kitchen@yahoo.com,0922 878 0002,https://www.facebook.com/chef.pat.kitchen82,,"https://static.wixstatic.com/media/f488d8_130d0848125f4601b753acbbe8dd2677~mv2.jpg/v1/fill/w_157,h_151,al_c,q_80,usm_0.66_1.00_0.01,enc_avif,quality_auto/76613093_10157457833386061_4880067254760243200_n.jpg",/vendor-logos/chef-patricks-kitchen.jpg
caterers,Connoisseur Catering,dos.connoisseurcatering@gmail.com,0915 822 0710,https://www.facebook.com/connoisseurcateringBGC,,"https://static.wixstatic.com/media/f488d8_7c7e3ff03a524f5e8f9c2ab32d192b7a~mv2.jpg/v1/fill/w_157,h_151,al_c,q_80,usm_0.66_1.00_0.01,enc_avif,quality_auto/76613093_10157457833386061_4880067254760243200_n.jpg",/vendor-logos/connoisseur-catering.png
caterers,Densol's Catering and Events,densolscatering@gmail.com,0922 844 9082,http://www.facebook.com/DensolCatering,,"https://static.wixstatic.com/media/f488d8_d6fa3b8054104e58ade5401e602fe4e5~mv2.jpg/v1/fill/w_157,h_151,al_c,q_80,usm_0.66_1.00_0.01,enc_avif,quality_auto/76613093_10157457833386061_4880067254760243200_n.jpg",/vendor-logos/densols-catering-and-events.png
caterers,Elegant Events and Agape Catering,eeacs2020@gmail.com,0915 884 9588,https://www.facebook.com/ElegantEventsPh,,"https://static.wixstatic.com/media/f488d8_f0685e249d754a64a14e9fb76bb48460~mv2.jpg/v1/fill/w_157,h_151,al_c,q_80,usm_0.66_1.00_0.01,enc_avif,quality_auto/76613093_10157457833386061_4880067254760243200_n.jpg","https://static.wixstatic.com/media/f488d8_f0685e249d754a64a14e9fb76bb48460~mv2.jpg/v1/fill/w_157,h_151,al_c,q_80,usm_0.66_1.00_0.01,enc_avif,quality_auto/76613093_10157457833386061_4880067254760243200_n.jpg"
caterers,Fill At Home,fillathome87@gmail.com,0917 877 4711,https://www.facebook.com/fillathome,,"https://static.wixstatic.com/media/f488d8_3bbd45016bc54528b96d5d6e829964bb~mv2.jpg/v1/fill/w_157,h_151,al_c,q_80,usm_0.66_1.00_0.01,enc_avif,quality_auto/76613093_10157457833386061_4880067254760243200_n.jpg",/vendor-logos/fill-at-home.jpg
caterers,Hizon's Catering Services Inc,info@hizonscatering.com,,,,"https://static.wixstatic.com/media/f488d8_8ef062ec04e04c3bb2d8adbf5095babc~mv2.png/v1/fill/w_157,h_151,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/76613093_10157457833386061_4880067254760243200_n.png",/vendor-logos/hizons-catering-services-inc.jpg
caterers,Josiah's Catering,sales@josiahcatering.com,0976 163 8639,https://web.facebook.com/experienceJosiahs/,,"https://static.wixstatic.com/media/f488d8_be6b333edc964e58b2bcc3af5eab3bd2~mv2.png/v1/fill/w_157,h_151,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/76613093_10157457833386061_4880067254760243200_n.png",/vendor-logos/josiahs-catering.png
caterers,Juan Carlo The Caterer,inquiries@juancarlo.ph,0917 149 5505,,,"https://static.wixstatic.com/media/f488d8_c4609debe45e47cbbc6f0e72b9e56787~mv2.png/v1/fill/w_157,h_151,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/76613093_10157457833386061_4880067254760243200_n.png","https://static.wixstatic.com/media/f488d8_c4609debe45e47cbbc6f0e72b9e56787~mv2.png/v1/fill/w_157,h_151,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/76613093_10157457833386061_4880067254760243200_n.png"
